,trans_vat_desc,original_gross_amt,trans_cac_code_1,trans_cac_code_2,directorate,cluster
0,1.0,0.04040525121435636,1.0,1.0,1.0,2
1,1.0,0.04067876404090487,1.0,1.0,1.0,2
2,1.0,0.04099663029878558,1.0,2.0,1.0,2
3,1.0,0.04096633661529399,1.0,2.0,1.0,2
4,1.0,0.040959089322592644,1.0,3.0,1.0,2
5,1.0,0.0409409710908393,1.0,3.0,1.0,2
6,1.0,0.0409593792143007,1.0,3.0,1.0,2
7,1.0,0.04090400989806247,1.0,4.0,1.0,2
8,1.0,0.0411499830123459,1.0,4.0,1.0,2
9,1.0,0.04115418644211268,1.0,4.0,1.0,2
10,1.0,0.041145489690871076,1.0,4.0,1.0,2
11,1.0,0.03488006020470992,2.0,5.0,1.0,2
16,1.0,0.04417543782344667,2.0,5.0,1.0,2
17,1.0,0.048068683462605705,2.0,5.0,1.0,2
25,1.0,0.053221508573257366,2.0,5.0,1.0,2
26,1.0,0.05360706454496857,2.0,5.0,1.0,2
28,1.0,0.047664284529871016,2.0,5.0,1.0,2
29,1.0,0.047664284529871016,2.0,5.0,1.0,2
32,1.0,0.05036969889528067,2.0,5.0,1.0,2
33,1.0,0.046133656311348324,2.0,5.0,1.0,2
34,1.0,0.043297790677314575,2.0,5.0,1.0,2
37,1.0,0.04493277991073654,2.0,5.0,1.0,2
38,1.0,0.045079175223303576,2.0,5.0,1.0,2
39,1.0,0.035741038577628934,2.0,5.0,1.0,2
40,1.0,0.04514222666980522,2.0,5.0,1.0,2
41,1.0,0.04445083494609753,2.0,5.0,1.0,2
43,1.0,0.0468931725864486,2.0,5.0,1.0,2
50,1.0,0.04640542978764852,2.0,5.0,1.0,2
54,1.0,0.04584448933256492,2.0,5.0,1.0,2
61,1.0,0.04650181878057632,2.0,5.0,1.0,2
62,2.0,0.04768240276162436,2.0,5.0,1.0,2
67,1.0,0.054205690922099134,2.0,5.0,1.0,2
68,1.0,0.02469181612516828,2.0,5.0,1.0,2
79,1.0,0.053581699020513886,2.0,5.0,1.0,2
80,1.0,0.05384332628703221,2.0,5.0,1.0,2
85,1.0,0.04090951784051549,1.0,6.0,1.0,2
86,1.0,0.040959089322592644,1.0,6.0,1.0,2
87,1.0,0.0406707920189334,1.0,6.0,1.0,2
88,1.0,0.04105344907356408,1.0,6.0,1.0,2
89,1.0,0.04078761837727898,1.0,7.0,1.0,2
90,1.0,0.04133609348891628,1.0,7.0,1.0,2
91,1.0,0.04120259835735762,1.0,1.0,1.0,2
92,1.0,0.04125318446041296,1.0,2.0,1.0,2
93,1.0,0.04080153317926555,1.0,2.0,1.0,2
94,1.0,0.04112838608009591,1.0,7.0,1.0,2
95,1.0,0.041094613696107674,1.0,7.0,1.0,2
96,1.0,0.04111447127810934,1.0,7.0,1.0,2
97,1.0,0.041349428507486734,1.0,8.0,1.0,2
98,1.0,0.041301596375657904,1.0,8.0,1.0,2
99,1.0,0.041176508103632804,1.0,9.0,1.0,2
100,1.0,0.04124912597650022,1.0,10.0,1.0,2
101,1.0,0.04052425176051234,1.0,10.0,1.0,2
102,1.0,0.041248981030646184,1.0,10.0,1.0,2
103,1.0,0.040959089322592644,1.0,10.0,1.0,2
104,1.0,0.04104721640184092,1.0,10.0,1.0,2
105,1.0,0.04123448644524351,1.0,10.0,1.0,2
106,1.0,0.04110736893126203,1.0,3.0,1.0,2
107,1.0,0.04119013301391132,1.0,3.0,1.0,2
108,1.0,0.04130246605078206,1.0,3.0,1.0,2
109,1.0,0.04066934256039314,1.0,3.0,1.0,2
110,1.0,0.040847915852554116,1.0,3.0,1.0,2
111,1.0,0.041150562795762013,1.0,3.0,1.0,2
112,3.0,0.04711928811873036,3.0,11.0,1.0,2
113,1.0,0.04103156224960603,4.0,11.0,1.0,2
114,1.0,0.0327855926140231,2.0,5.0,1.0,2
118,1.0,0.040886616395579264,2.0,5.0,1.0,2
131,1.0,0.04081414346856588,2.0,5.0,1.0,2
132,1.0,0.023103209565034883,2.0,5.0,1.0,2
133,1.0,0.04095561062209601,1.0,12.0,1.0,2
134,1.0,0.041074031384835875,1.0,12.0,1.0,2
135,1.0,0.04072645122687968,1.0,12.0,1.0,2
136,1.0,0.04068891025068675,1.0,12.0,1.0,2
137,1.0,0.04120912092078882,1.0,13.0,1.0,2
138,1.0,0.04119085774318145,1.0,13.0,1.0,2
139,1.0,0.04109055521219493,1.0,13.0,1.0,2
140,2.0,0.040335677204423506,5.0,14.0,1.0,2
141,1.0,0.041252459731142825,1.0,15.0,1.0,2
142,1.0,0.040760368556721945,1.0,15.0,1.0,2
143,1.0,0.04122028175154888,1.0,16.0,1.0,2
144,1.0,0.04103880954230737,1.0,16.0,1.0,2
145,1.0,0.041177232832902935,1.0,10.0,1.0,2
146,1.0,0.04123274709499519,1.0,10.0,1.0,2
147,1.0,0.04104185340524193,1.0,10.0,1.0,2
148,1.0,0.04114722904111939,1.0,10.0,1.0,2
149,1.0,0.04116433265189455,1.0,10.0,1.0,2
150,1.0,0.0411565055757771,1.0,10.0,1.0,2
151,1.0,0.041180856479253604,1.0,10.0,1.0,2
152,1.0,0.04125970702384416,1.0,10.0,1.0,2
153,2.0,0.04099807975732585,6.0,17.0,1.0,2
155,1.0,0.03683175612918038,2.0,5.0,1.0,2
159,1.0,0.053648374113366204,2.0,5.0,1.0,2
160,1.0,0.054952162070337,7.0,18.0,1.0,2
164,1.0,0.028287922763572435,2.0,5.0,1.0,2
165,1.0,0.0351213950516645,2.0,5.0,1.0,2
166,1.0,0.03473438962141302,2.0,5.0,1.0,2
167,1.0,0.02812268448998192,2.0,5.0,1.0,2
170,1.0,0.046887374752287526,2.0,5.0,1.0,2
171,1.0,0.046080751074628556,2.0,5.0,1.0,2
179,1.0,0.048876756598804943,2.0,5.0,1.0,2
180,1.0,0.056482790288859684,2.0,5.0,1.0,2
181,1.0,0.0596027497967859,2.0,5.0,1.0,2
183,1.0,0.05559862057929639,2.0,5.0,1.0,2
184,1.0,0.04878036760587714,2.0,5.0,1.0,2
185,1.0,0.027529855947012433,2.0,5.0,1.0,2
188,1.0,0.04330793688709645,2.0,5.0,1.0,2
198,1.0,0.05189960238453322,2.0,5.0,1.0,2
201,1.0,0.04114317055720664,2.0,5.0,1.0,2
202,1.0,0.05424844994903703,2.0,5.0,1.0,2
210,1.0,0.041148243662097586,2.0,5.0,1.0,2
211,1.0,0.041263475616048866,2.0,5.0,1.0,2
215,1.0,0.04794547948668295,2.0,5.0,1.0,2
216,1.0,0.04120912092078882,1.0,15.0,1.0,2
217,1.0,0.04116636189385093,1.0,15.0,1.0,2
218,1.0,0.041089540591216736,1.0,13.0,1.0,2
219,1.0,0.04106055142041139,1.0,13.0,1.0,2
220,1.0,0.041027213873985224,1.0,13.0,1.0,2
221,1.0,0.0412501405974784,1.0,13.0,1.0,2
222,1.0,0.04094227560352554,1.0,13.0,1.0,2
223,1.0,0.04086617903016149,1.0,7.0,1.0,2
224,1.0,0.0410161979890792,1.0,19.0,1.0,2
225,1.0,0.040681662957985414,1.0,19.0,1.0,2
226,1.0,0.04075312126402061,1.0,12.0,1.0,2
227,1.0,0.040499176127765706,1.0,12.0,1.0,2
228,1.0,0.04122709420668814,1.0,12.0,1.0,2
229,1.0,0.04052845519027911,1.0,12.0,1.0,2
230,1.0,0.04056150284499722,1.0,12.0,1.0,2
231,1.0,0.0407709496040659,1.0,12.0,1.0,2
232,1.0,0.041248981030646184,1.0,2.0,1.0,2
233,1.0,0.041029822899357714,1.0,20.0,1.0,2
234,1.0,0.041008660804669805,1.0,20.0,1.0,2
235,1.0,0.04082327505736957,1.0,21.0,1.0,2
236,1.0,0.040895023255112815,1.0,21.0,1.0,2
237,1.0,0.04088081856141819,1.0,21.0,1.0,2
238,1.0,0.04129333446197838,1.0,20.0,1.0,2
239,1.0,0.04129536370393475,1.0,20.0,1.0,2
240,1.0,0.04117897218315126,1.0,20.0,1.0,2
241,1.0,0.040751236967918256,1.0,20.0,1.0,2
242,1.0,0.04128217363121832,1.0,20.0,1.0,2
243,1.0,0.04129478392051864,1.0,20.0,1.0,2
244,1.0,0.041284782656590795,1.0,20.0,1.0,2
245,1.0,0.040776457546518916,1.0,20.0,1.0,2
246,1.0,0.04108301802778554,1.0,20.0,1.0,2
247,1.0,0.040832696537881304,1.0,20.0,1.0,2
248,1.0,0.04092082361712958,1.0,20.0,1.0,2
249,2.0,0.041238255037448206,1.0,7.0,1.0,2
250,2.0,0.04102445990275872,1.0,7.0,1.0,2
251,2.0,0.04095372632599366,1.0,7.0,1.0,2
252,2.0,0.04099242686901881,1.0,7.0,1.0,2
253,1.0,0.04124767651795994,1.0,22.0,1.0,2
254,1.0,0.04033872106735807,1.0,22.0,1.0,2
255,1.0,0.041043737701344285,1.0,22.0,1.0,2
256,1.0,0.04134739926553036,1.0,7.0,1.0,2
257,1.0,0.041406102336411205,1.0,7.0,1.0,2
258,1.0,0.04145190522628366,8.0,23.0,1.0,2
259,1.0,0.04046308461011305,1.0,12.0,1.0,2
260,1.0,0.041077655031186544,1.0,12.0,1.0,2
261,1.0,0.04084661133986787,1.0,12.0,1.0,2
262,1.0,0.040904299789770525,1.0,12.0,1.0,2
263,1.0,0.04087574545652725,1.0,12.0,1.0,2
264,1.0,0.04131290215227199,1.0,7.0,1.0,2
265,1.0,0.04091850448346515,1.0,7.0,1.0,2
266,1.0,0.04102677903642315,1.0,7.0,1.0,2
267,1.0,0.04133609348891628,1.0,7.0,1.0,2
268,1.0,0.04119317687684588,1.0,8.0,1.0,2
269,1.0,0.04114041658598014,1.0,2.0,1.0,2
270,1.0,0.04128811641123341,1.0,2.0,1.0,2
271,1.0,0.0412301380696227,1.0,2.0,1.0,2
